cotacaoCompra,cotacaoVenda,dataHoraCotacao
"4,9213","4,9219",2023-08-31 13:02:58.521
"4,9312","4,9318",2023-09-01 13:10:27.706
"4,917","4,9176",2023-09-04 13:06:46.876
"4,9699","4,9705",2023-09-05 13:02:32.338
"4,9756","4,9762",2023-09-06 13:08:32.673
"4,9829","4,9835",2023-09-08 13:11:28.677
"4,936","4,9366",2023-09-11 13:07:29.047
"4,9499","4,9505",2023-09-12 13:05:38.148
"4,9165","4,9171",2023-09-13 13:08:19.757
"4,8745","4,8751",2023-09-14 13:10:28.686
"4,8683","4,8689",2023-09-15 13:11:32.198
"4,8529","4,8535",2023-09-18 13:09:26.976
"4,8569","4,8575",2023-09-19 13:03:30.155
"4,8481","4,8487",2023-09-20 13:11:31.016
"4,9223","4,9229",2023-09-21 13:06:45.141
"4,9125","4,9131",2023-09-22 13:08:45.071
"4,96","4,9606",2023-09-25 13:10:42.04
"4,9711","4,9717",2023-09-26 13:10:33.749
"5,0283","5,0289",2023-09-27 13:02:52.495
"5,0469","5,0475",2023-09-28 13:02:35.109
"5,007","5,0076",2023-09-29 13:09:29.084
"5,0673","5,0679",2023-10-02 13:10:37.562
"5,1094","5,11",2023-10-03 13:06:35.216
"5,152","5,1526",2023-10-04 13:06:57.406
"5,1707","5,1713",2023-10-05 13:08:41.646
"5,1912","5,1918",2023-10-06 13:07:34.464
"5,166","5,1666",2023-10-09 13:22:11.067
"5,0856","5,0862",2023-10-10 13:11:30.76
"5,049","5,0496",2023-10-11 13:05:06.911
"5,0619","5,0625",2023-10-13 13:06:03.284
"5,0612","5,0618",2023-10-16 13:05:08.04
"5,0378","5,0384",2023-10-17 13:04:27.446
"5,0562","5,0568",2023-10-18 13:10:35.363
"5,0534","5,054",2023-10-19 13:07:36.744
"5,0522","5,0528",2023-10-20 13:06:42.393
"5,0158","5,0164",2023-10-23 13:07:40.798
"5,0059","5,0065",2023-10-24 13:07:29.666
"4,9975","4,9981",2023-10-25 13:08:28.731
"5,0049","5,0055",2023-10-26 13:04:30.356
"4,9474","4,948",2023-10-27 13:03:30.348
"5,0068","5,0074",2023-10-30 13:03:39.266
"5,0569","5,0575",2023-10-31 13:05:31.053
"5,0188","5,0194",2023-11-01 13:11:42.1
"4,8904","4,891",2023-11-03 13:05:47.571
"4,8993","4,8999",2023-11-06 13:05:30.746
"4,8664","4,867",2023-11-07 13:09:32.911
"4,8849","4,8855",2023-11-08 13:09:36.404
"4,9001","4,9007",2023-11-09 13:08:31.522
"4,9213","4,9219",2023-11-10 13:05:44.478
