Macrotrends Data Download

Brent Crude Oil Prices - 10 Year Daily Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2014-09-09,98.0800
2014-09-10,96.2600
2014-09-11,96.4200
2014-09-12,96.3100
2014-09-15,96.4300
2014-09-16,97.3900
2014-09-17,97.7000
2014-09-18,96.8200
2014-09-19,96.7500
2014-09-22,95.3700
2014-09-23,94.8700
2014-09-24,94.5300
2014-09-25,95.2000
2014-09-26,95.0800
2014-09-29,95.7000
2014-09-30,94.6700
2014-10-01,94.5700
2014-10-02,91.2900
2014-10-03,90.8000
2014-10-06,90.6500
2014-10-07,90.9000
2014-10-08,90.2500
2014-10-09,90.4700
2014-10-10,88.6600
2014-10-13,87.8200
2014-10-14,86.3600
2014-10-15,84.0200
2014-10-16,84.0200
2014-10-17,85.2700
2014-10-20,84.4200
2014-10-21,85.1700
2014-10-22,86.3800
2014-10-23,85.9400
2014-10-24,86.0000
2014-10-27,85.6400
2014-10-28,85.5700
2014-10-29,86.9100
2014-10-30,85.5000
2014-10-31,84.1700
2014-11-03,84.9000
2014-11-04,82.1200
2014-11-05,82.8800
2014-11-06,82.0800
2014-11-07,83.2000
2014-11-10,82.9000
2014-11-11,80.9400
2014-11-12,80.4200
2014-11-13,77.7400
2014-11-14,77.5100
2014-11-17,76.8600
2014-11-18,77.2300
2014-11-19,77.2100
2014-11-20,77.6100
2014-11-21,79.2000
2014-11-24,79.6200
2014-11-25,77.6200
2014-11-26,77.3900
2014-11-28,71.8900
2014-12-01,70.8700
2014-12-02,71.1300
2014-12-03,70.1300
2014-12-04,68.4800
2014-12-05,68.0000
2014-12-08,65.6400
2014-12-09,66.1100
2014-12-10,63.3200
2014-12-11,63.6500
2014-12-12,61.6700
2014-12-15,61.0900
2014-12-16,60.2600
2014-12-17,59.8400
2014-12-18,58.8100
2014-12-19,58.8700
2014-12-22,58.3100
2014-12-23,59.0700
2014-12-24,58.6700
2014-12-26,58.7200
2014-12-29,57.8600
2014-12-30,55.6000
2014-12-31,55.2700
2015-01-02,55.3800
2015-01-05,51.0800
2015-01-06,50.1200
2015-01-07,49.0600
2015-01-08,49.4300
2015-01-09,47.6400
2015-01-12,46.9000
2015-01-13,45.1300
2015-01-14,45.8200
2015-01-15,47.6600
2015-01-16,47.3800
2015-01-20,46.4900
2015-01-21,46.5000
2015-01-22,46.0900
2015-01-23,46.6900
2015-01-26,46.0700
2015-01-27,46.5500
2015-01-28,47.0700
2015-01-29,46.6100
2015-01-30,47.5200
2015-02-02,51.7400
2015-02-03,54.4100
2015-02-04,55.0700
2015-02-05,55.9800
2015-02-06,55.8800
2015-02-09,57.0000
2015-02-10,55.7900
2015-02-11,53.4800
2015-02-12,56.2300
2015-02-13,60.3300
2015-02-16,61.5700
2015-02-17,60.7800
2015-02-18,60.7200
2015-02-19,58.7800
2015-02-20,60.9900
2015-02-23,59.7800
2015-02-24,60.3300
2015-02-25,59.7700
2015-02-26,61.3900
2015-02-27,61.8900
2015-03-02,60.7500
2015-03-03,61.1800
2015-03-04,59.1800
2015-03-05,60.3300
2015-03-06,59.1500
2015-03-09,58.6700
2015-03-10,55.9500
2015-03-11,56.4600
2015-03-12,56.6600
2015-03-13,54.8000
2015-03-16,52.0000
2015-03-17,52.1700
2015-03-18,52.5900
2015-03-19,52.9600
2015-03-20,53.8800
2015-03-23,53.8200
2015-03-24,53.6100
2015-03-25,54.1800
2015-03-26,57.0200
2015-03-27,56.4400
2015-03-30,53.9900
2015-03-31,53.6900
2015-04-01,55.7300
2015-04-02,55.7300
2015-04-06,55.7300
2015-04-07,57.5500
2015-04-08,56.4200
2015-04-09,56.0400
2015-04-10,56.8200
2015-04-13,57.1400
2015-04-14,57.6900
2015-04-15,59.3200
2015-04-16,60.1300
2015-04-17,61.3100
2015-04-20,61.2000
2015-04-21,60.1200
2015-04-22,60.1200
2015-04-23,62.6600
2015-04-24,62.9600
2015-04-27,62.8600
2015-04-28,62.6100
2015-04-29,63.9700
2015-04-30,63.9000
2015-05-01,64.1300
2015-05-04,64.6200
2015-05-05,65.4400
2015-05-06,66.2200
2015-05-07,64.9300
2015-05-08,63.8200
2015-05-11,62.8200
2015-05-12,65.0900
2015-05-13,66.3300
2015-05-14,65.5800
2015-05-15,64.6900
2015-05-18,65.1500
2015-05-19,63.4800
2015-05-20,63.5200
2015-05-21,64.7000
2015-05-22,64.7000
2015-05-26,61.6500
2015-05-27,62.0600
2015-05-28,62.5800
2015-05-29,65.5600
2015-06-01,64.8800
2015-06-02,65.4900
2015-06-03,63.8000
2015-06-04,62.0300
2015-06-05,63.3100
2015-06-08,62.6900
2015-06-09,64.8800
2015-06-10,65.7000
2015-06-11,65.1100
2015-06-12,63.8700
2015-06-15,62.6100
2015-06-16,63.7000
2015-06-17,63.8700
2015-06-18,64.2600
2015-06-19,63.0200
2015-06-22,63.3400
2015-06-23,64.4500
2015-06-24,63.4900
2015-06-25,63.2000
2015-06-26,63.2600
2015-06-29,62.0100
2015-06-30,63.5900
2015-07-01,62.0100
2015-07-02,62.0700
2015-07-03,60.3200
2015-07-06,56.5400
2015-07-07,56.8500
2015-07-08,57.0500
2015-07-09,58.6100
2015-07-10,58.7300
2015-07-13,57.8500
2015-07-14,58.5100
2015-07-15,57.0500
2015-07-16,57.5100
2015-07-17,57.1000
2015-07-20,56.6500
2015-07-21,57.0400
2015-07-22,56.1300
2015-07-23,55.2700
2015-07-24,54.6200
2015-07-27,53.4700
2015-07-28,53.3000
2015-07-29,53.3800
2015-07-30,53.3100
2015-07-31,52.2100
2015-08-03,49.5200
2015-08-04,49.9900
2015-08-05,49.5900
2015-08-06,49.5200
2015-08-07,48.6100
2015-08-10,50.4100
2015-08-11,49.1800
2015-08-12,49.6600
2015-08-13,49.2200
2015-08-14,49.0300
2015-08-17,48.7400
2015-08-18,48.8100
2015-08-19,47.1600
2015-08-20,46.6200
2015-08-21,45.4600
2015-08-24,42.6900
2015-08-25,43.2100
2015-08-26,43.1400
2015-08-27,47.5600
2015-08-28,50.0500
2015-08-31,54.1500
2015-09-01,49.5600
2015-09-02,50.5000
2015-09-03,50.6800
2015-09-04,49.6100
2015-09-07,47.6300
2015-09-08,49.5200
2015-09-09,47.5800
2015-09-10,48.8900
2015-09-11,48.1400
2015-09-14,46.3700
2015-09-15,46.6300
2015-09-16,49.7500
2015-09-17,49.0800
2015-09-18,47.4700
2015-09-21,48.9200
2015-09-22,49.0800
2015-09-23,47.7500
2015-09-24,48.1700
2015-09-25,48.6000
2015-09-28,47.3400
2015-09-29,48.2300
2015-09-30,48.3700
2015-10-01,47.6900
2015-10-02,48.1300
2015-10-05,49.2500
2015-10-06,51.9200
2015-10-07,51.3300
2015-10-08,53.0500
2015-10-09,52.6500
2015-10-12,49.8600
2015-10-13,49.2400
2015-10-14,49.1500
2015-10-15,48.7100
2015-10-16,50.4600
2015-10-19,48.6100
2015-10-20,48.7100
2015-10-21,47.8500
2015-10-22,48.0800
2015-10-23,47.9900
2015-10-26,47.5400
2015-10-27,46.8100
2015-10-28,49.0500
2015-10-29,48.8000
2015-10-30,49.5600
2015-11-02,48.7900
2015-11-03,50.5400
2015-11-04,48.5800
2015-11-05,47.9800
2015-11-06,47.4200
2015-11-09,47.1900
2015-11-10,47.4400
2015-11-11,45.8100
2015-11-12,44.0600
2015-11-13,43.6100
2015-11-16,44.5600
2015-11-17,43.5700
2015-11-18,44.1400
2015-11-19,44.1800
2015-11-20,44.6600
2015-11-23,44.8300
2015-11-24,46.1200
2015-11-25,46.1700
2015-11-26,45.4600
2015-11-27,44.8600
2015-11-30,44.6100
2015-12-01,44.4400
2015-12-02,42.4900
2015-12-03,43.8400
2015-12-04,43.0000
2015-12-07,40.7300
2015-12-08,40.2600
2015-12-09,40.1100
2015-12-10,39.7300
2015-12-11,37.9300
2015-12-14,37.9200
2015-12-15,38.4500
2015-12-16,37.1900
2015-12-17,37.0600
2015-12-18,36.8800
2015-12-21,36.3500
2015-12-22,36.1100
2015-12-23,37.3600
2015-12-24,37.8900
2015-12-28,36.6200
2015-12-29,37.7900
2015-12-30,36.4600
2015-12-31,37.2800
2016-01-04,37.2200
2016-01-05,36.4200
2016-01-06,34.2300
2016-01-07,33.7500
2016-01-08,33.5500
2016-01-11,31.5500
2016-01-12,30.8600
2016-01-13,30.3100
2016-01-14,31.0300
2016-01-15,28.9400
2016-01-18,28.5500
2016-01-19,28.7600
2016-01-20,27.8800
2016-01-21,29.2500
2016-01-22,32.1800
2016-01-25,30.5000
2016-01-26,31.8000
2016-01-27,33.1000
2016-01-28,33.8900
2016-01-29,34.7400
2016-02-01,34.2400
2016-02-02,32.7200
2016-02-03,35.0400
2016-02-04,34.4600
2016-02-05,34.0600
2016-02-08,32.8800
2016-02-09,30.3200
2016-02-10,30.8400
2016-02-11,30.0600
2016-02-12,33.3600
2016-02-15,33.3900
2016-02-16,32.1800
2016-02-17,34.5000
2016-02-18,34.2800
2016-02-19,33.0100
2016-02-22,34.6900
2016-02-23,33.2700
2016-02-24,34.4100
2016-02-25,35.2900
2016-02-26,35.1000
2016-02-29,35.9700
2016-03-01,36.8100
2016-03-02,36.9300
2016-03-03,37.0700
2016-03-04,38.7200
2016-03-07,40.8400
2016-03-08,39.6500
2016-03-09,41.0700
2016-03-10,40.0500
2016-03-11,40.3900
2016-03-14,39.5300
2016-03-15,38.7400
2016-03-16,40.3300
2016-03-17,41.5400
2016-03-18,41.2000
2016-03-21,41.5400
2016-03-22,41.7900
2016-03-23,40.4700
2016-03-24,40.4400
2016-03-28,40.2700
2016-03-29,39.1400
2016-03-30,39.2600
2016-03-31,39.6000
2016-04-01,38.6700
2016-04-04,37.6900
2016-04-05,37.8700
2016-04-06,39.8400
2016-04-07,39.4300
2016-04-08,41.9400
2016-04-11,42.8300
2016-04-12,44.6900
2016-04-13,44.1800
2016-04-14,43.8400
2016-04-15,43.1000
2016-04-18,42.9100
2016-04-19,44.0300
2016-04-20,45.8000
2016-04-21,44.5300
2016-04-22,45.1100
2016-04-25,44.4800
2016-04-26,45.7400
2016-04-27,47.1800
2016-04-28,48.1400
2016-04-29,48.1300
2016-05-02,45.8300
2016-05-03,44.9700
2016-05-04,44.6200
2016-05-05,45.0100
2016-05-06,45.3700
2016-05-09,43.6300
2016-05-10,45.5200
2016-05-11,47.6000
2016-05-12,48.0800
2016-05-13,47.8300
2016-05-16,48.9700
2016-05-17,49.2800
2016-05-18,48.9300
2016-05-19,48.8100
2016-05-20,48.7200
2016-05-23,48.3500
2016-05-24,48.6100
2016-05-25,49.7400
2016-05-26,49.5900
2016-05-27,49.3200
2016-05-30,49.7600
2016-05-31,49.6900
2016-06-01,49.7200
2016-06-02,50.0400
2016-06-03,49.6400
2016-06-06,50.5500
2016-06-07,51.4400
2016-06-08,52.5100
2016-06-09,51.9500
2016-06-10,50.5400
2016-06-13,50.3500
2016-06-14,49.8300
2016-06-15,48.9700
2016-06-16,47.1900
2016-06-17,49.1700
2016-06-20,50.6500
2016-06-21,50.6200
2016-06-22,49.8800
2016-06-23,50.9100
2016-06-24,48.4100
2016-06-27,47.1600
2016-06-28,48.5800
2016-06-29,50.6100
2016-06-30,49.6800
2016-07-01,50.3500
2016-07-04,50.1000
2016-07-05,47.9600
2016-07-06,48.8000
2016-07-07,46.4000
2016-07-08,46.7600
2016-07-11,46.2500
2016-07-12,48.4700
2016-07-13,46.2600
2016-07-14,47.3700
2016-07-15,47.6100
2016-07-18,46.9600
2016-07-19,46.6600
2016-07-20,47.1700
2016-07-21,46.2000
2016-07-22,45.6900
2016-07-25,44.7200
2016-07-26,44.8700
2016-07-27,43.4700
2016-07-28,42.7000
2016-07-29,42.4600
2016-08-01,42.1400
2016-08-02,41.8000
2016-08-03,43.1000
2016-08-04,44.2900
2016-08-05,44.2700
2016-08-08,45.3900
2016-08-09,44.9800
2016-08-10,44.0500
2016-08-11,46.0400
2016-08-12,46.9700
2016-08-15,48.3500
2016-08-16,49.2300
2016-08-17,49.8500
2016-08-18,50.8900
2016-08-19,50.8800
2016-08-22,49.1600
2016-08-23,49.9600
2016-08-24,49.0500
2016-08-25,49.6700
2016-08-26,49.9200
2016-08-29,49.2600
2016-08-30,48.3700
2016-08-31,47.0400
2016-09-01,45.4500
2016-09-02,46.8300
2016-09-05,47.6300
2016-09-06,47.2600
2016-09-07,47.9800
2016-09-08,49.9900
2016-09-09,48.0100
2016-09-12,48.3200
2016-09-13,47.1000
2016-09-14,45.8500
2016-09-15,46.5900
2016-09-16,45.7700
2016-09-19,45.9500
2016-09-20,45.8800
2016-09-21,46.8300
2016-09-22,47.6500
2016-09-23,45.8900
2016-09-26,47.3500
2016-09-27,45.9700
2016-09-28,48.6900
2016-09-29,49.2400
2016-09-30,49.0600
2016-10-03,50.8900
2016-10-04,50.8700
2016-10-05,51.8600
2016-10-06,52.5100
2016-10-07,51.9300
2016-10-10,53.1400
2016-10-11,52.4100
2016-10-12,51.8100
2016-10-13,52.0300
2016-10-14,51.9500
2016-10-17,51.5200
2016-10-18,51.6800
2016-10-19,52.6700
2016-10-20,51.3800
2016-10-21,51.7800
2016-10-24,51.4600
2016-10-25,50.7900
2016-10-26,49.9800
2016-10-27,50.4700
2016-10-28,49.7100
2016-10-31,48.3000
2016-11-01,48.1400
2016-11-02,46.8600
2016-11-03,46.3500
2016-11-04,45.5800
2016-11-07,46.1500
2016-11-08,46.0400
2016-11-09,46.3600
2016-11-10,45.8400
2016-11-11,44.7500
2016-11-14,44.4300
2016-11-15,46.9500
2016-11-16,46.6300
2016-11-17,46.4900
2016-11-18,46.8600
2016-11-21,48.9000
2016-11-22,49.1200
2016-11-23,48.9500
2016-11-24,49.0000
2016-11-25,47.2400
2016-11-28,48.2400
2016-11-29,46.3800
2016-11-30,50.4700
2016-12-01,53.9400
2016-12-02,54.4600
2016-12-05,54.9400
2016-12-06,53.9300
2016-12-07,53.0000
2016-12-08,53.8900
2016-12-09,54.3300
2016-12-12,55.6900
2016-12-13,55.7200
2016-12-14,53.9000
2016-12-15,54.0200
2016-12-16,55.2100
2016-12-19,54.9200
2016-12-20,55.3500
2016-12-21,54.4600
2016-12-22,55.0500
2016-12-23,55.1600
2016-12-27,56.0900
2016-12-28,56.2200
2016-12-29,56.1400
2016-12-30,56.8200
2017-01-02,56.8200
2017-01-03,55.4700
2017-01-04,56.4600
2017-01-05,56.8900
2017-01-06,57.1000
2017-01-09,54.9400
2017-01-10,53.6400
2017-01-11,55.1000
2017-01-12,56.0100
2017-01-13,55.4500
2017-01-16,55.8600
2017-01-17,55.4700
2017-01-18,53.9200
2017-01-19,54.1600
2017-01-20,55.4900
2017-01-23,55.2300
2017-01-24,55.4400
2017-01-25,55.0800
2017-01-26,56.2400
2017-01-27,55.5200
2017-01-30,55.2300
2017-01-31,55.7000
2017-02-01,56.8000
2017-02-02,56.5600
2017-02-03,56.8100
2017-02-06,55.7200
2017-02-07,55.0500
2017-02-08,55.1200
2017-02-09,55.6300
2017-02-10,56.7000
2017-02-13,55.5900
2017-02-14,55.9700
2017-02-15,55.7500
2017-02-16,55.6500
2017-02-17,55.8100
2017-02-20,56.1800
2017-02-21,56.6600
2017-02-22,55.8400
2017-02-23,56.5800
2017-02-24,55.9900
2017-02-27,55.9300
2017-02-28,55.5900
2017-03-01,56.3600
2017-03-02,55.0800
2017-03-03,55.9000
2017-03-06,56.0100
2017-03-07,55.9200
2017-03-08,53.1100
2017-03-09,52.1900
2017-03-10,51.3700
2017-03-13,51.3500
2017-03-14,50.9200
2017-03-15,51.8100
2017-03-16,51.7400
2017-03-17,51.7600
2017-03-20,51.6200
2017-03-21,50.9600
2017-03-22,50.6400
2017-03-23,50.5600
2017-03-24,50.8000
2017-03-27,50.7500
2017-03-28,51.3300
2017-03-29,52.4200
2017-03-30,52.9600
2017-03-31,52.8300
2017-04-03,53.1200
2017-04-04,54.1700
2017-04-05,54.3600
2017-04-06,54.8900
2017-04-07,55.2400
2017-04-10,55.9800
2017-04-11,56.2300
2017-04-12,55.8600
2017-04-13,55.8900
2017-04-17,55.3600
2017-04-18,54.8900
2017-04-19,52.9300
2017-04-20,52.9900
2017-04-21,51.9600
2017-04-24,51.6000
2017-04-25,52.1000
2017-04-26,51.8200
2017-04-27,51.4400
2017-04-28,51.7300
2017-05-01,51.5200
2017-05-02,50.4600
2017-05-03,50.7900
2017-05-04,48.3800
2017-05-05,49.1000
2017-05-08,49.3400
2017-05-09,48.7300
2017-05-10,50.2200
2017-05-11,50.7700
2017-05-12,50.8400
2017-05-15,51.8200
2017-05-16,51.6500
2017-05-17,52.2100
2017-05-18,52.5100
2017-05-19,53.6100
2017-05-22,53.8700
2017-05-23,54.1500
2017-05-24,53.9600
2017-05-25,51.4600
2017-05-26,52.1500
2017-05-29,52.2900
2017-05-30,51.8400
2017-05-31,50.3100
2017-06-01,50.6300
2017-06-02,49.9500
2017-06-05,49.4700
2017-06-06,50.1200
2017-06-07,48.0600
2017-06-08,47.8600
2017-06-09,48.1500
2017-06-12,48.2900
2017-06-13,48.7200
2017-06-14,47.0000
2017-06-15,46.9200
2017-06-16,47.3700
2017-06-19,46.9100
2017-06-20,46.0200
2017-06-21,44.8200
2017-06-22,45.2200
2017-06-23,45.5400
2017-06-26,45.8300
2017-06-27,46.6500
2017-06-28,47.3100
2017-06-29,47.4200
2017-06-30,47.9200
2017-07-03,49.6800
2017-07-04,49.6100
2017-07-05,47.7900
2017-07-06,48.1100
2017-07-07,46.7100
2017-07-10,46.8800
2017-07-11,47.5200
2017-07-12,47.7400
2017-07-13,48.4200
2017-07-14,48.9100
2017-07-17,48.4200
2017-07-18,48.8400
2017-07-19,49.7000
2017-07-20,49.3000
2017-07-21,48.0600
2017-07-24,48.6000
2017-07-25,50.2000
2017-07-26,50.9700
2017-07-27,51.4900
2017-07-28,52.5200
2017-07-31,52.6500
2017-08-01,51.7800
2017-08-02,52.3600
2017-08-03,52.0100
2017-08-04,52.4200
2017-08-07,52.3700
2017-08-08,52.1400
2017-08-09,52.7000
2017-08-10,51.9000
2017-08-11,52.1000
2017-08-14,50.7300
2017-08-15,50.8000
2017-08-16,50.2700
2017-08-17,51.0300
2017-08-18,52.7200
2017-08-21,51.6600
2017-08-22,51.8700
2017-08-23,52.5700
2017-08-24,52.0400
2017-08-25,52.4100
2017-08-28,51.8900
2017-08-29,52.0000
2017-08-30,50.8600
2017-08-31,52.3800
2017-09-01,52.7500
2017-09-04,52.3400
2017-09-05,53.3800
2017-09-06,54.2000
2017-09-07,54.4900
2017-09-08,53.7800
2017-09-11,53.8400
2017-09-12,54.2700
2017-09-13,55.1600
2017-09-14,55.4700
2017-09-15,55.6200
2017-09-18,55.4800
2017-09-19,55.1400
2017-09-20,56.2900
2017-09-21,56.4300
2017-09-22,56.8600
2017-09-25,59.0200
2017-09-26,58.4400
2017-09-27,57.9000
2017-09-28,57.4100
2017-09-29,57.5400
2017-10-02,56.1200
2017-10-03,56.0000
2017-10-04,55.8000
2017-10-05,57.0000
2017-10-06,55.6200
2017-10-09,55.7900
2017-10-10,56.6100
2017-10-11,56.9400
2017-10-12,56.2500
2017-10-13,57.1700
2017-10-16,57.8200
2017-10-17,57.8800
2017-10-18,58.1500
2017-10-19,57.2300
2017-10-20,57.7500
2017-10-23,57.3700
2017-10-24,58.3300
2017-10-25,58.4400
2017-10-26,59.3000
2017-10-27,60.4400
2017-10-30,60.9000
2017-10-31,61.3700
2017-11-01,60.4900
2017-11-02,60.6200
2017-11-03,62.0700
2017-11-06,64.2700
2017-11-07,63.6900
2017-11-08,63.4900
2017-11-09,63.9300
2017-11-10,63.5200
2017-11-13,63.1600
2017-11-14,60.9100
2017-11-15,61.2500
2017-11-16,61.1800
2017-11-17,61.3400
2017-11-20,61.3400
2017-11-21,62.2800
2017-11-22,62.9200
2017-11-23,63.2700
2017-11-24,63.5800
2017-11-27,63.2500
2017-11-28,63.5600
2017-11-29,63.7400
2017-11-30,63.5300
2017-12-01,64.5700
2017-12-04,63.4500
2017-12-05,63.4500
2017-12-06,62.2500
2017-12-07,62.3700
2017-12-08,63.8600
2017-12-11,65.6200
2017-12-12,64.9600
2017-12-13,63.6600
2017-12-14,63.7200
2017-12-15,63.8100
2017-12-18,64.4500
2017-12-19,63.6900
2017-12-20,64.4300
2017-12-21,64.6400
2017-12-22,64.6100
2017-12-27,66.0300
2017-12-28,66.8000
2017-12-29,66.7300
2018-01-02,66.6500
2018-01-03,67.8500
2018-01-04,68.7300
2018-01-05,68.0100
2018-01-08,68.4800
2018-01-09,69.0800
2018-01-10,69.7900
2018-01-11,70.3600
2018-01-12,69.6400
2018-01-15,70.3100
2018-01-16,69.4000
2018-01-17,69.1900
2018-01-18,69.4800
2018-01-19,68.5600
2018-01-22,69.3200
2018-01-23,69.8100
2018-01-24,69.9100
2018-01-25,71.0800
2018-01-26,70.0800
2018-01-29,68.4100
2018-01-30,67.7800
2018-01-31,67.7800
2018-02-01,68.6000
2018-02-02,67.4500
2018-02-05,67.6900
2018-02-06,66.7500
2018-02-07,65.7400
2018-02-08,64.2600
2018-02-09,63.0400
2018-02-12,62.2000
2018-02-13,61.9400
2018-02-14,62.2900
2018-02-15,62.8600
2018-02-16,64.3000
2018-02-19,64.9500
2018-02-20,64.6800
2018-02-21,64.8100
2018-02-22,66.1200
2018-02-23,67.0400
2018-02-26,67.9600
