"";"tipo_veiculo";"nome_montadora";"marca";"mes_ano";"qtd_licenciada";"mes";"ano"
"79";"Automóveis";"BMW";"Mini";"jul_22";54;"jul";2022
"80";"Automóveis";"BMW";"Mini";"ago_22";60;"ago";2022
"81";"Automóveis";"BMW";"Mini";"set_22";NA;"set";2022
"82";"Automóveis";"BMW";"Mini";"out_22";NA;"out";2022
"83";"Automóveis";"BMW";"Mini";"nov_22";NA;"nov";2022
"84";"Automóveis";"BMW";"Mini";"dez_22";NA;"dez";2022
"85";"Automóveis";"BMW";"Mini";"jan_21";107;"jan";2021
"86";"Automóveis";"BMW";"Mini";"fev_21";77;"fev";2021
"87";"Automóveis";"BMW";"Mini";"mar_21";66;"mar";2021
"88";"Automóveis";"BMW";"Mini";"abr_21";57;"abr";2021
"89";"Automóveis";"BMW";"Mini";"mai_21";73;"mai";2021
"90";"Automóveis";"BMW";"Mini";"jun_21";107;"jun";2021
"91";"Automóveis";"BMW";"Mini";"jul_21";143;"jul";2021
"92";"Automóveis";"BMW";"Mini";"ago_21";150;"ago";2021
"93";"Automóveis";"BMW";"Mini";"set_21";187;"set";2021
"94";"Automóveis";"BMW";"Mini";"out_21";130;"out";2021
"95";"Automóveis";"BMW";"Mini";"nov_21";119;"nov";2021
"96";"Automóveis";"BMW";"Mini";"dez_21";202;"dez";2021
"97";"Automóveis";"BMW";"Mini";"jan_20";108;"jan";2020
"98";"Automóveis";"BMW";"Mini";"fev_20";107;"fev";2020
"99";"Automóveis";"BMW";"Mini";"mar_20";106;"mar";2020
"100";"Automóveis";"BMW";"Mini";"abr_20";30;"abr";2020
"101";"Automóveis";"BMW";"Mini";"mai_20";41;"mai";2020
"102";"Automóveis";"BMW";"Mini";"jun_20";134;"jun";2020
"103";"Automóveis";"BMW";"Mini";"jul_20";130;"jul";2020
"104";"Automóveis";"BMW";"Mini";"ago_20";108;"ago";2020
"105";"Automóveis";"BMW";"Mini";"set_20";107;"set";2020
"106";"Automóveis";"BMW";"Mini";"out_20";113;"out";2020
"107";"Automóveis";"BMW";"Mini";"nov_20";152;"nov";2020
"108";"Automóveis";"BMW";"Mini";"dez_20";139;"dez";2020
"109";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"jan_22";3131;"jan";2022
"110";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"fev_22";3302;"fev";2022
"111";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"mar_22";3171;"mar";2022
"112";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"abr_22";3259;"abr";2022
"113";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"mai_22";3045;"mai";2022
"114";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"jun_22";2914;"jun";2022
"115";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"jul_22";2115;"jul";2022
"116";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"ago_22";3148;"ago";2022
"117";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"set_22";NA;"set";2022
"118";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"out_22";NA;"out";2022
"119";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"nov_22";NA;"nov";2022
"120";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"dez_22";NA;"dez";2022
"121";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"jan_21";2292;"jan";2021
"122";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"fev_21";1649;"fev";2021
"123";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"mar_21";2453;"mar";2021
"124";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"abr_21";2560;"abr";2021
"125";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"mai_21";3183;"mai";2021
"126";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"jun_21";3186;"jun";2021
"127";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"jul_21";3763;"jul";2021
"128";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"ago_21";4717;"ago";2021
"129";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"set_21";4036;"set";2021
"130";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"out_21";4526;"out";2021
"131";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"nov_21";3683;"nov";2021
"132";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"dez_21";3699;"dez";2021
"133";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"jan_20";1684;"jan";2020
"134";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"fev_20";1923;"fev";2020
"135";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"mar_20";1927;"mar";2020
"136";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"abr_20";422;"abr";2020
"137";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"mai_20";396;"mai";2020
"138";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"jun_20";1036;"jun";2020
"139";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"jul_20";1456;"jul";2020
"140";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"ago_20";1632;"ago";2020
"141";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"set_20";2184;"set";2020
"142";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"out_20";1997;"out";2020
"143";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"nov_20";2254;"nov";2020
"144";"Automóveis";"Caoa - Hyundai";"Caoa Chery";"dez_20";3178;"dez";2020
"145";"Automóveis";"Caoa - Hyundai";"Hyundai";"jan_22";269;"jan";2022
"146";"Automóveis";"Caoa - Hyundai";"Hyundai";"fev_22";866;"fev";2022
"147";"Automóveis";"Caoa - Hyundai";"Hyundai";"mar_22";630;"mar";2022
"148";"Automóveis";"Caoa - Hyundai";"Hyundai";"abr_22";68;"abr";2022
"149";"Automóveis";"Caoa - Hyundai";"Hyundai";"mai_22";185;"mai";2022
"150";"Automóveis";"Caoa - Hyundai";"Hyundai";"jun_22";255;"jun";2022
"151";"Automóveis";"Caoa - Hyundai";"Hyundai";"jul_22";45;"jul";2022
"152";"Automóveis";"Caoa - Hyundai";"Hyundai";"ago_22";55;"ago";2022
"153";"Automóveis";"Caoa - Hyundai";"Hyundai";"set_22";NA;"set";2022
"154";"Automóveis";"Caoa - Hyundai";"Hyundai";"out_22";NA;"out";2022
"155";"Automóveis";"Caoa - Hyundai";"Hyundai";"nov_22";NA;"nov";2022
"156";"Automóveis";"Caoa - Hyundai";"Hyundai";"dez_22";NA;"dez";2022
"157";"Automóveis";"Caoa - Hyundai";"Hyundai";"jan_21";548;"jan";2021
"158";"Automóveis";"Caoa - Hyundai";"Hyundai";"fev_21";597;"fev";2021
"159";"Automóveis";"Caoa - Hyundai";"Hyundai";"mar_21";534;"mar";2021
"160";"Automóveis";"Caoa - Hyundai";"Hyundai";"abr_21";405;"abr";2021
"161";"Automóveis";"Caoa - Hyundai";"Hyundai";"mai_21";337;"mai";2021
"162";"Automóveis";"Caoa - Hyundai";"Hyundai";"jun_21";350;"jun";2021
"163";"Automóveis";"Caoa - Hyundai";"Hyundai";"jul_21";357;"jul";2021
"164";"Automóveis";"Caoa - Hyundai";"Hyundai";"ago_21";353;"ago";2021
"165";"Automóveis";"Caoa - Hyundai";"Hyundai";"set_21";231;"set";2021
"166";"Automóveis";"Caoa - Hyundai";"Hyundai";"out_21";143;"out";2021
"167";"Automóveis";"Caoa - Hyundai";"Hyundai";"nov_21";147;"nov";2021
"168";"Automóveis";"Caoa - Hyundai";"Hyundai";"dez_21";205;"dez";2021
"169";"Automóveis";"Caoa - Hyundai";"Hyundai";"jan_20";525;"jan";2020
"170";"Automóveis";"Caoa - Hyundai";"Hyundai";"fev_20";497;"fev";2020
"171";"Automóveis";"Caoa - Hyundai";"Hyundai";"mar_20";500;"mar";2020
"172";"Automóveis";"Caoa - Hyundai";"Hyundai";"abr_20";102;"abr";2020
"173";"Automóveis";"Caoa - Hyundai";"Hyundai";"mai_20";142;"mai";2020
"174";"Automóveis";"Caoa - Hyundai";"Hyundai";"jun_20";401;"jun";2020
"175";"Automóveis";"Caoa - Hyundai";"Hyundai";"jul_20";699;"jul";2020
"176";"Automóveis";"Caoa - Hyundai";"Hyundai";"ago_20";400;"ago";2020
"177";"Automóveis";"Caoa - Hyundai";"Hyundai";"set_20";498;"set";2020
"178";"Automóveis";"Caoa - Hyundai";"Hyundai";"out_20";300;"out";2020
"179";"Automóveis";"Caoa - Hyundai";"Hyundai";"nov_20";355;"nov";2020
"180";"Automóveis";"Caoa - Hyundai";"Hyundai";"dez_20";583;"dez";2020
"181";"Automóveis";"Caoa - Hyundai";"Subaru";"jan_22";76;"jan";2022
"182";"Automóveis";"Caoa - Hyundai";"Subaru";"fev_22";2;"fev";2022
"183";"Automóveis";"Caoa - Hyundai";"Subaru";"mar_22";62;"mar";2022
"184";"Automóveis";"Caoa - Hyundai";"Subaru";"abr_22";53;"abr";2022
"185";"Automóveis";"Caoa - Hyundai";"Subaru";"mai_22";0;"mai";2022
"186";"Automóveis";"Caoa - Hyundai";"Subaru";"jun_22";1;"jun";2022
"187";"Automóveis";"Caoa - Hyundai";"Subaru";"jul_22";59;"jul";2022
"188";"Automóveis";"Caoa - Hyundai";"Subaru";"ago_22";64;"ago";2022
"189";"Automóveis";"Caoa - Hyundai";"Subaru";"set_22";NA;"set";2022
"190";"Automóveis";"Caoa - Hyundai";"Subaru";"out_22";NA;"out";2022
"191";"Automóveis";"Caoa - Hyundai";"Subaru";"nov_22";NA;"nov";2022
"192";"Automóveis";"Caoa - Hyundai";"Subaru";"dez_22";NA;"dez";2022
"193";"Automóveis";"Caoa - Hyundai";"Subaru";"jan_21";28;"jan";2021
"194";"Automóveis";"Caoa - Hyundai";"Subaru";"fev_21";141;"fev";2021
"195";"Automóveis";"Caoa - Hyundai";"Subaru";"mar_21";1;"mar";2021
"196";"Automóveis";"Caoa - Hyundai";"Subaru";"abr_21";0;"abr";2021
"197";"Automóveis";"Caoa - Hyundai";"Subaru";"mai_21";51;"mai";2021
"198";"Automóveis";"Caoa - Hyundai";"Subaru";"jun_21";29;"jun";2021
"199";"Automóveis";"Caoa - Hyundai";"Subaru";"jul_21";6;"jul";2021
"200";"Automóveis";"Caoa - Hyundai";"Subaru";"ago_21";47;"ago";2021
"201";"Automóveis";"Caoa - Hyundai";"Subaru";"set_21";18;"set";2021
"202";"Automóveis";"Caoa - Hyundai";"Subaru";"out_21";74;"out";2021
"203";"Automóveis";"Caoa - Hyundai";"Subaru";"nov_21";3;"nov";2021
"204";"Automóveis";"Caoa - Hyundai";"Subaru";"dez_21";1;"dez";2021
"205";"Automóveis";"Caoa - Hyundai";"Subaru";"jan_20";33;"jan";2020
"206";"Automóveis";"Caoa - Hyundai";"Subaru";"fev_20";24;"fev";2020
"207";"Automóveis";"Caoa - Hyundai";"Subaru";"mar_20";63;"mar";2020
"208";"Automóveis";"Caoa - Hyundai";"Subaru";"abr_20";0;"abr";2020
"209";"Automóveis";"Caoa - Hyundai";"Subaru";"mai_20";1;"mai";2020
"210";"Automóveis";"Caoa - Hyundai";"Subaru";"jun_20";33;"jun";2020
"211";"Automóveis";"Caoa - Hyundai";"Subaru";"jul_20";35;"jul";2020
"212";"Automóveis";"Caoa - Hyundai";"Subaru";"ago_20";37;"ago";2020
"213";"Automóveis";"Caoa - Hyundai";"Subaru";"set_20";51;"set";2020
"214";"Automóveis";"Caoa - Hyundai";"Subaru";"out_20";0;"out";2020
"215";"Automóveis";"Caoa - Hyundai";"Subaru";"nov_20";50;"nov";2020
"216";"Automóveis";"Caoa - Hyundai";"Subaru";"dez_20";0;"dez";2020
"217";"Automóveis";"FCA";"Chrysler";"jan_22";2;"jan";2022
"218";"Automóveis";"FCA";"Chrysler";"fev_22";0;"fev";2022
"219";"Automóveis";"FCA";"Chrysler";"mar_22";1;"mar";2022
"220";"Automóveis";"FCA";"Chrysler";"abr_22";4;"abr";2022
"221";"Automóveis";"FCA";"Chrysler";"mai_22";0;"mai";2022
"222";"Automóveis";"FCA";"Chrysler";"jun_22";1;"jun";2022
"223";"Automóveis";"FCA";"Chrysler";"jul_22";1;"jul";2022
"224";"Automóveis";"FCA";"Chrysler";"ago_22";3;"ago";2022
"225";"Automóveis";"FCA";"Chrysler";"set_22";NA;"set";2022
"226";"Automóveis";"FCA";"Chrysler";"out_22";NA;"out";2022
"227";"Automóveis";"FCA";"Chrysler";"nov_22";NA;"nov";2022
"228";"Automóveis";"FCA";"Chrysler";"dez_22";NA;"dez";2022
"229";"Automóveis";"FCA";"Chrysler";"jan_21";1;"jan";2021
"230";"Automóveis";"FCA";"Chrysler";"fev_21";1;"fev";2021
"231";"Automóveis";"FCA";"Chrysler";"mar_21";0;"mar";2021
